Date,Open,High,Low,Close
18-Dec-02,3321.12,3348.57,3319.25,3333.31
19-Dec-02,3332.72,3345.67,3313.45,3333.86
20-Dec-02,3339.46,3356,3329.1,3337.22
23-Dec-02,3346.56,3351.01,3321.07,3329.61
24-Dec-02,3328.66,3359.39,3318.02,3352.77
26-Dec-02,3360.86,3399.37,3360.41,3382.64
27-Dec-02,3393.58,3413.83,3393.58,3398
30-Dec-02,3389.12,3389.12,3359.76,3374.97
31-Dec-02,3376.48,3398.11,3374.73,3377.28
01-Jan-03,3383.85,3396.8,3381.07,3390.12
02-Jan-03,3399.72,3407.24,3363.11,3365.06
03-Jan-03,3380.44,3386.97,3351.89,3357.54
06-Jan-03,3364.72,3364.72,3330.02,3334.89
07-Jan-03,3350.18,3352.43,3320.42,3330.5
08-Jan-03,3339.89,3362.12,3338.94,3357.87
09-Jan-03,3367.34,3388.19,3366.28,3384.2
10-Jan-03,3416.92,3416.92,3342.12,3358.99
13-Jan-03,3355.07,3356.93,3324.25,3327.16
14-Jan-03,3334.94,3341.55,3321.49,3335.35
15-Jan-03,3333.2,3359.98,3333.2,3357.69
16-Jan-03,3358.47,3377.27,3352.55,3373.52
17-Jan-03,3377.94,3382.53,3366.24,3370.39
20-Jan-03,3364.53,3368.08,3338.09,3341.89
21-Jan-03,3348.32,3356.82,3336.95,3354.14
22-Jan-03,3364.11,3367.23,3345.62,3357.04
23-Jan-03,3351.75,3360.37,3324.49,3328.18
24-Jan-03,3332.02,3340.68,3281.93,3287.86
27-Jan-03,3283.93,3286.46,3221.69,3247.71
28-Jan-03,3247.09,3269.13,3209.51,3267.84
29-Jan-03,3273.78,3275.92,3225.74,3238.02
30-Jan-03,3246.54,3256.48,3217.37,3219.88
31-Jan-03,3216.16,3257.48,3199.18,3250.38
03-Feb-03,3260.04,3283.48,3250.52,3279.83
04-Feb-03,3283.59,3295.25,3271.75,3278.13
05-Feb-03,3268.61,3277.09,3239.02,3256.08
06-Feb-03,3253.14,3311.18,3253.14,3305.44
07-Feb-03,3309.46,3309.96,3277.33,3279.77
10-Feb-03,3281.37,3281.42,3252.49,3256.86
11-Feb-03,3269.85,3278.79,3249.63,3261.47
12-Feb-03,3266.26,3268.39,3236.33,3247.51
14-Feb-03,3250.65,3254.04,3218.37,3223.41
17-Feb-03,3248.9,3287.01,3248.9,3282.45
18-Feb-03,3284.04,3301.92,3284.04,3289.09
19-Feb-03,3303.09,3317.8,3300.85,3302.04
20-Feb-03,3301.81,3307.87,3284.58,3303.22
21-Feb-03,3303.33,3313.6,3294.68,3307.2
24-Feb-03,3318.25,3341.61,3318.25,3322.17
25-Feb-03,3316.91,3316.91,3279,3281.92
26-Feb-03,3291.07,3292.69,3259,3260.48
27-Feb-03,3254.84,3283.29,3251.4,3277.34
28-Feb-03,3294.6,3316.74,3269.8,3283.66
03-Mar-03,3301.67,3311.57,3274.64,3277.27
04-Mar-03,3271.06,3272.19,3240.16,3244.8
05-Mar-03,3233.43,3235.85,3190.06,3226.1
06-Mar-03,3252.28,3252.28,3186.43,3190.35
07-Mar-03,3182.16,3182.16,3142.89,3153.06
10-Mar-03,3152.9,3162.27,3115.32,3125.88
11-Mar-03,3117.49,3159.48,3100.14,3154.91
12-Mar-03,3151.6,3158.98,3106.85,3110.08
13-Mar-03,3113.35,3127.3,3086.43,3108.24
17-Mar-03,3115.14,3115.14,3049.05,3084.91
19-Mar-03,3103.87,3128.83,3103.87,3121.18
20-Mar-03,3118.8,3197.66,3118.32,3192.93
21-Mar-03,3195.66,3209.46,3179.79,3200.15
22-Mar-03,3208.58,3225.26,3208.58,3218.73
